tipo,unico,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros
auto,0,5843,2371,37,138,109,1505,1030,80,163
moto,0,2371,158,5,47,84,116,68,19,14
ciclom,0,37,5,0,1,2,5,1,0,1
ciclista,0,138,47,1,2,3,30,3,2,0
pedestre,0,109,84,2,3,12,56,5,5,2
onibus,0,1505,116,5,30,56,38,59,7,17
caminhao,0,1030,68,1,3,5,59,28,7,45
viatura,0,80,19,0,2,5,7,7,3,5
outros,0,163,14,1,0,2,17,45,5,13
