tipo,unico,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros
auto,0,1444,1266,14,71,65,321,218,37,44
moto,0,1266,142,3,44,61,90,41,20,8
ciclom,0,14,3,0,0,0,2,0,0,0
ciclista,0,71,44,0,2,4,27,8,0,1
pedestre,0,65,61,0,4,12,29,2,1,0
onibus,0,321,90,2,27,29,8,13,3,4
caminhao,0,218,41,0,8,2,13,7,2,7
viatura,0,37,20,0,0,1,3,2,1,2
outros,0,44,8,0,1,0,4,7,2,2
