tipo,unico,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros
auto,0,3183,1467,68,41,45,862,675,37,44
moto,0,1467,120,5,13,28,67,41,13,6
ciclom,0,68,5,2,0,1,4,1,0,0
ciclista,0,41,13,0,1,0,6,2,0,0
pedestre,0,45,28,1,0,0,11,3,0,1
onibus,0,862,67,4,6,11,32,38,3,14
caminhao,0,675,41,1,2,3,38,24,1,3
viatura,0,37,13,0,0,0,3,1,0,0
outros,0,44,6,0,0,1,14,3,0,2
